Completed Date,Task Title,Project Title
2021-01-11 14:33:40+00:00,M0: Wellness Assessment,ESCE 5271: Wellness
2021-01-11 17:40:47+00:00,M1: Knowledge Quiz: Wellness — Healthcare for the 21st century,ESCE 5271: Wellness
2021-01-11 17:40:49+00:00,Chapter 1: Wellness: Healthcare for the 21st Century,ESCE 5271: Wellness
2021-01-11 17:44:20+00:00,Look at JEE Author Guidelines,Inbox
2021-01-11 17:53:13+00:00,Craft CAREER Agenda,EED
2021-01-11 17:57:50+00:00,Craft 1:1 Agenda,EED
2021-01-11 19:13:48+00:00,Take Antidepressant,Inbox
2021-01-12 17:01:49+00:00,Exercise,Inbox
2021-01-12 17:01:49+00:00,Write for ASEE,EED
2021-01-12 19:29:03+00:00,Take Antidepressant,Inbox
2021-01-12 19:31:31+00:00,Track Work Time,EED
2021-01-13 17:47:13+00:00,Creswell & Plano Clark (2018): Chapter 1,ENGR 6194: Mixed Methods Research
2021-01-13 19:11:01+00:00,Take Antidepressant,Inbox
2021-01-13 19:11:04+00:00,Exercise,Inbox
2021-01-13 21:18:27+00:00,Write for ASEE,EED
2021-01-13 21:18:27+00:00,Track Work Time,EED
2021-01-13 21:18:46+00:00,Schedule Article,The Renegade Coder
2021-01-13 21:18:58+00:00,Schedule Article,The Renegade Coder
2021-01-14 15:26:49+00:00,Change Date on Agendas,EED
2021-01-14 15:37:31+00:00,Send WhenToMeet to Discuss Pilot,EED
2021-01-14 17:27:30+00:00,Greene (2007): Chapter 2,ENGR 6194: Mixed Methods Research
2021-01-14 17:32:22+00:00,Extra Credit,ESCE 5271: Wellness
2021-01-14 19:18:17+00:00,Take Antidepressant,Inbox
2021-01-15 14:12:24+00:00,Track Work Time,EED
2021-01-15 14:12:26+00:00,Write for ASEE,EED
2021-01-15 15:57:43+00:00,Work on Dissertation Literature Trace,EED
2021-01-15 16:27:29+00:00,Look into interview scheduling tools,EED
2021-01-15 16:27:31+00:00,Review Dr. Dringenberg Email Template,Inbox
2021-01-15 16:37:33+00:00,Fill in JEE Paper Sections,Inbox
2021-01-15 16:43:28+00:00,Craft CAREER Agenda,EED
2021-01-15 16:43:42+00:00,Track Writing Time,EED
2021-01-15 17:42:23+00:00,Exercise,Inbox
2021-01-15 18:47:46+00:00,Take Antidepressant,Inbox
2021-01-16 23:43:23+00:00,Take Antidepressant,Inbox
2021-01-18 00:06:20+00:00,Take Antidepressant,Inbox
2021-01-18 16:36:52+00:00,M2: Knowledge Quiz: Evolution of Wellness,ESCE 5271: Wellness
2021-01-18 16:38:01+00:00,Write for ASEE,EED
2021-01-18 16:55:09+00:00,Bring Example Articles,ENGR 6194: Mixed Methods Research
2021-01-18 22:45:23+00:00,Take Antidepressant,Inbox
2021-01-18 22:45:28+00:00,Track Work Time,EED
2021-01-18 22:45:28+00:00,Exercise,Inbox
2021-01-19 15:45:23+00:00,Register for CONECD,EED
2021-01-19 17:17:09+00:00,Answer Discussion Prompts for Seminar,EED
2021-01-19 17:17:16+00:00,Write for ASEE,EED
2021-01-19 17:21:13+00:00,Track Work Time,EED
2021-01-19 20:40:16+00:00,Take Antidepressant,Inbox
2021-01-20 15:17:02+00:00,Email David,EED
2021-01-20 15:17:31+00:00,Move transcripts and audio to correct folder,EED
2021-01-20 15:18:03+00:00,Email emily Lexi's stuff,EED
2021-01-20 19:05:21+00:00,Write for ASEE,EED
2021-01-20 19:05:59+00:00,Update recruitment spreadsheet,EED
2021-01-20 19:35:09+00:00,Take Antidepressant,Inbox
2021-01-20 19:35:09+00:00,Track Work Time,EED
2021-01-21 14:56:11+00:00,Exercise,Inbox
2021-01-21 14:56:30+00:00,Chat with Lexi,EED
2021-01-21 14:56:30+00:00,Setup CoNECD schedule,EED
2021-01-21 14:56:52+00:00,Create Expense Report/Email Alex for Help,EED
2021-01-21 15:41:08+00:00,Write Letter of Recommendation for Junyuan,Inbox
2021-01-21 16:25:57+00:00,Refine Recruitment,EED
2021-01-21 17:26:07+00:00,Send out Recruitment Emails,EED
2021-01-21 18:57:01+00:00,Track Work Time,EED
2021-01-22 14:29:20+00:00,Write letter of recommendation,Inbox
2021-01-22 16:04:33+00:00,Greene (2007): Chapter 3,ENGR 6194: Mixed Methods Research
2021-01-22 17:33:29+00:00,Submit Letter of Recommendation for Junyuan,Inbox
2021-01-22 18:56:12+00:00,Take Antidepressant,Inbox
2021-01-22 18:56:16+00:00,Exercise,Inbox
2021-01-23 18:58:28+00:00,Take Antidepressant,Inbox
2021-01-23 19:57:24+00:00,Schedule Article,The Renegade Coder
2021-01-23 19:57:29+00:00,Schedule Article,The Renegade Coder
2021-01-23 19:59:21+00:00,Work on Dissertation Literature Trace,EED
2021-01-23 21:25:55+00:00,Transfer mixed methods notes to one note,Inbox
2021-01-23 21:25:58+00:00,Creswell & Plano Clark (2018): Chapter 2,ENGR 6194: Mixed Methods Research
2021-01-23 21:31:29+00:00,Track Writing Time,EED
2021-01-23 21:31:29+00:00,Track Work Time,EED
2021-01-24 16:04:33+00:00,Pay Therapy Bill,Inbox
2021-01-24 16:07:11+00:00,Pay Water Bill,Inbox
2021-01-24 16:14:34+00:00,Add Morgan's W2 to Taxes,Inbox
2021-01-24 16:33:01+00:00,Upload ESC W2,Inbox
2021-01-24 16:33:01+00:00,Find ESC W2,Inbox
2021-01-24 16:48:38+00:00,Craft CAREER Agenda,EED
2021-01-24 17:00:59+00:00,Update recruitment needs,EED
2021-01-24 17:01:01+00:00,Check email,Inbox
2021-01-24 17:05:36+00:00,Read transcripts,EED
2021-01-24 18:30:49+00:00,Draft Topic One Pager,ENGR 6194: Mixed Methods Research
2021-01-24 18:41:02+00:00,M4: Individual Wellness Plan (IWP),ESCE 5271: Wellness
2021-01-24 19:23:00+00:00,Take Antidepressant,Inbox
2021-01-25 02:41:31+00:00,Update Navigation,The Renegade Coder
2021-01-25 02:41:32+00:00,Add Two New Series (Year in Review & Birthday),The Renegade Coder
2021-01-25 17:25:59+00:00,Write for ASEE,EED
2021-01-25 18:58:45+00:00,Take Antidepressant,Inbox
2021-01-26 01:20:08+00:00,M3: Knowledge Quiz: Wellness Models,ESCE 5271: Wellness
2021-01-26 01:29:23+00:00,Submit More Letters for Junyuan,Inbox
2021-01-26 14:19:48+00:00,Write for ASEE,EED
2021-01-26 14:19:51+00:00,Craft Writing Agenda,EED
2021-01-26 17:01:39+00:00,Craft 1:1 Agenda,EED
2021-01-26 20:39:25+00:00,Take Antidepressant,Inbox
2021-01-27 15:34:47+00:00,Update Calendly to 2 hours,Inbox
2021-01-27 16:14:52+00:00,Add Everyone to Interview List,EED
2021-01-27 16:15:56+00:00,Assigning  Pseudonyms,EED
2021-01-27 16:42:34+00:00,Don't Say Pick One or Group Them,EED
2021-01-27 18:07:40+00:00,Add Ways to Prove It,EED
2021-01-27 18:16:41+00:00,Update Protocol Questions for Cases,EED
2021-01-27 18:54:00+00:00,Take Antidepressant,Inbox
2021-01-27 19:41:53+00:00,Complete Jonathan Letter of Recommendation,Inbox
2021-01-27 20:35:43+00:00,Send out WhenToMeet,EED
2021-01-27 20:44:00+00:00,Track Work Time,EED
2021-01-28 14:29:18+00:00,Exercise,Inbox
2021-01-28 15:51:35+00:00,Schedule Article,The Renegade Coder
2021-01-28 17:10:32+00:00,Greene (2007): Chapter 4,ENGR 6194: Mixed Methods Research
2021-01-28 19:25:36+00:00,Take Antidepressant,Inbox
2021-01-28 23:07:47+00:00,Greene (2007): Chapter 5,ENGR 6194: Mixed Methods Research
2021-01-29 20:00:20+00:00,Take Antidepressant,Inbox
2021-01-29 21:21:39+00:00,Debate,ENGR 6194: Mixed Methods Research
2021-01-30 16:44:53+00:00,Exercise,Inbox
2021-01-30 16:47:04+00:00,Update stereotype threat definition in protocol (description),EED
2021-01-30 17:57:52+00:00,Write for ASEE,EED
2021-01-31 21:41:58+00:00,Take Antidepressant,Inbox
2021-01-31 22:32:42+00:00,Code Chris's Interview,EED
2021-01-31 23:23:52+00:00,Track Work Time,EED
2021-01-31 23:25:40+00:00,Track Writing Time,EED
2021-01-31 23:46:19+00:00,Update Newsletter,The Renegade Coder
2021-02-01 13:57:15+00:00,Send times to Dr. Kajfez,EED
2021-02-01 14:05:20+00:00,Respond to Aaron,EED
2021-02-01 14:14:28+00:00,Fill out Focus Group Time Sheet,Inbox
2021-02-01 15:04:14+00:00,Sign up for COVID test,Inbox
2021-02-01 15:04:20+00:00,Get Reimbursed for CoNECD,EED
2021-02-01 16:05:42+00:00,M4: Knowledge Quiz: Creating Good Goals,ESCE 5271: Wellness
2021-02-01 17:34:21+00:00,Craft CAREER Agenda,EED
2021-02-01 18:44:54+00:00,Exercise,Inbox
2021-02-01 18:44:58+00:00,Craft Writing Agenda,EED
2021-02-01 21:43:52+00:00,Work on Dissertation Literature Trace,EED
2021-02-01 21:43:54+00:00,Take Antidepressant,Inbox
2021-02-03 16:54:30+00:00,Complete Report=Support Training,Inbox
2021-02-03 21:28:36+00:00,Take Antidepressant,Inbox
2021-02-03 21:44:31+00:00,Meet with Dr. Kajfez to Discuss Gift Cards,EED
2021-02-04 19:57:12+00:00,Take Antidepressant,Inbox
2021-02-06 17:59:54+00:00,Exercise,Inbox
2021-02-06 19:04:17+00:00,Complete U Got This Training,Inbox
2021-02-06 19:04:24+00:00,Take Antidepressant,Inbox
2021-02-08 17:21:49+00:00,Track Work Time,EED
2021-02-08 17:22:42+00:00,Organize Conference Call with Therapist with Oncologist,Inbox
2021-02-08 17:22:43+00:00,I'm going to read for one hour.,Inbox
2021-02-08 17:23:16+00:00,Track Writing Time,EED
2021-02-08 21:47:07+00:00,"Creswell & Plano Clark (2018): Chapter 3 (Introduction, pp. 51-64)",ENGR 6194: Mixed Methods Research
2021-02-08 22:21:21+00:00,"Creswell & Plano Clark (2018): Chapter 5 (Writing Research Questions and Hyptheses, pp. 163-170)",ENGR 6194: Mixed Methods Research
2021-02-09 01:34:45+00:00,Writing MMR Research Questions,ENGR 6194: Mixed Methods Research
2021-02-09 03:12:08+00:00,"Onwuegbuzie, A. J., & Leech, N. L. (2006). Linking research questions to mixed methods data analysis procedures 1. The Qualitative Report, 11(3), 474–498. https://doi.org/10.1017/S0018246X06005280",ENGR 6194: Mixed Methods Research
2021-02-09 16:38:35+00:00,Schedule CAREER Meeting,EED
2021-02-09 16:38:40+00:00,Craft Writing Agenda,EED
2021-02-09 16:40:01+00:00,Clean up Old Emails,Inbox
2021-02-09 16:40:17+00:00,Exercise,Inbox
2021-02-09 22:39:38+00:00,Send Email to Lexi,EED
2021-02-10 01:11:10+00:00,Take Antidepressant,Inbox
2021-02-10 17:15:06+00:00,Sign Up for COVID Test,Inbox
2021-02-10 17:15:20+00:00,Craft 1:1 Agenda,EED
2021-02-10 17:15:24+00:00,Craft CAREER Agenda,EED
2021-02-10 18:20:53+00:00,M5: Knowledge Quiz: Cognitive Wellness,ESCE 5271: Wellness
2021-02-10 21:25:00+00:00,"Creswell & Plano Clark (2018): Chapter 3 (Convergent Design, pp. 65-76)",ENGR 6194: Mixed Methods Research
2021-02-10 21:25:03+00:00,Craft CAREER Agenda,EED
2021-02-10 21:26:21+00:00,Take Antidepressant,Inbox
2021-02-10 23:13:27+00:00,Student-Led Presentations,ENGR 6194: Mixed Methods Research
2021-02-10 23:20:00+00:00,Greene (2007): pages 122-124,ENGR 6194: Mixed Methods Research
2021-02-11 00:11:38+00:00,Selected examples (by group),ENGR 6194: Mixed Methods Research
2021-02-11 04:43:40+00:00,Garcia & Mayorga (2017): The threat of unexamined secondary data: acritical race transformative convergent mixed methods (Links to an external site.),ENGR 6194: Mixed Methods Research
2021-02-11 04:53:00+00:00,Veziroglu-Celik & Acar (2018): Teaching Approaches and Practices of Student Teachers in Early Childhood Education: A Convergent Mixed Methods Study,ENGR 6194: Mixed Methods Research
2021-02-11 20:37:34+00:00,Take Antidepressant,Inbox
2021-02-11 22:28:31+00:00,Write a Mixed Methods Reflection,ENGR 6194: Mixed Methods Research
2021-02-11 22:28:34+00:00,Exercise,Inbox
2021-02-12 22:32:41+00:00,Take Antidepressant,Inbox
2021-02-12 22:32:47+00:00,Write for ASEE,EED
2021-02-12 23:05:03+00:00,Send Out Gift Cards (Ask for Pseudonyms),EED
2021-02-15 15:37:20+00:00,Final Topic One Pager,ENGR 6194: Mixed Methods Research
2021-02-15 15:37:26+00:00,Exercise,Inbox
2021-02-15 16:43:43+00:00,Track Work Time,EED
2021-02-15 16:46:30+00:00,Track Writing Time,EED
2021-02-15 17:29:11+00:00,Send David Link to Spreadsheet,EED
2021-02-15 17:29:22+00:00,Plan BERG Meeting,EED
2021-02-15 19:03:09+00:00,Take Antidepressant,Inbox
2021-02-15 22:11:41+00:00,Complete Table for Delaine's Interview,EED
2021-02-15 22:11:46+00:00,Update Files Names to Match Basecamp Doc,EED
2021-02-16 19:10:42+00:00,Craft Writing Agenda,EED
2021-02-16 19:10:47+00:00,IWP Progress and Feedback 1,ESCE 5271: Wellness
2021-02-16 20:01:03+00:00,Take Antidepressant,Inbox
2021-02-16 20:01:07+00:00,Track Work Time,EED
2021-02-16 20:01:10+00:00,Write for ASEE,EED
2021-02-16 20:01:33+00:00,M6: Knowledge Quiz: Emotional Wellness,ESCE 5271: Wellness
2021-02-17 17:28:27+00:00,CAREER Agenda,EED
2021-02-17 17:32:13+00:00,Mid Semester Evaluations,ENGR 6194: Mixed Methods Research
2021-02-17 17:37:07+00:00,Add Zoom Link to Microsoft Bookings,EED
2021-02-17 20:32:40+00:00,Take Antidepressant,Inbox
2021-02-18 01:37:20+00:00,Write for ASEE,EED
2021-02-18 01:56:17+00:00,Make 2-3 Claims About Protocol,EED
2021-02-18 20:22:40+00:00,Take Antidepressant,Inbox
2021-02-18 20:22:40+00:00,Exercise,Inbox
2021-02-18 20:22:45+00:00,Schedule Article,The Renegade Coder
2021-02-18 21:49:41+00:00,Write for ASEE,EED
2021-02-19 04:28:54+00:00,Track Work Time,EED
2021-02-19 04:29:01+00:00,Clean My Pilot,EED
2021-02-20 16:57:29+00:00,Schedule Interviews (MAYBE),EED
2021-02-21 17:42:35+00:00,Exercise,Inbox
2021-02-21 17:51:02+00:00,Track Writing Time,EED
2021-02-21 17:51:02+00:00,Track Work Time,EED
2021-02-21 17:56:48+00:00,Craft 1:1 Agenda,EED
2021-02-21 17:56:48+00:00,Craft CAREER Agenda,EED
2021-02-21 18:29:33+00:00,Work on Dissertation Literature Trace,EED
2021-02-21 19:37:26+00:00,Take Antidepressant,Inbox
2021-02-21 22:17:22+00:00,Pull Excerpts from Transcripts,EED
2021-02-21 22:17:26+00:00,Write for ASEE,EED
2021-02-22 19:00:58+00:00,Take Antidepressant,Inbox
2021-02-22 20:01:50+00:00,Write for ASEE,EED
2021-02-22 22:07:12+00:00,Upload Audio & Transcript,EED
2021-02-22 22:34:51+00:00,Exercise,Inbox
2021-02-24 17:44:53+00:00,Midterm,ENGR 6194: Mixed Methods Research
2021-02-24 17:44:57+00:00,Craft Writing Agenda,EED
2021-02-24 19:34:47+00:00,Schedule Article,The Renegade Coder
2021-02-24 19:37:08+00:00,Take Antidepressant,Inbox
2021-02-24 19:37:32+00:00,M7: Knowledge Quiz: Physical Activity & Preventative Self-Care,ESCE 5271: Wellness
2021-02-24 19:37:40+00:00,Student-Led Presentations,ENGR 6194: Mixed Methods Research
2021-02-24 20:03:07+00:00,Notify Dr. Christy of Timeline,EED
2021-02-24 20:03:25+00:00,Schedule Microsoft Bookings Discussion with Bailey,EED
2021-02-25 00:12:49+00:00,Put Together Resource for Ordering Gift Cards,EED
2021-02-26 17:42:04+00:00,Upload Transcripts,EED
2021-02-26 17:42:05+00:00,Edit How to Gift Card Guide,EED
2021-02-26 20:46:14+00:00,Track Work Time,EED
2021-02-26 20:46:27+00:00,Take Antidepressant,Inbox
2021-02-26 21:16:26+00:00,Work on Presentation,ENGR 6194: Mixed Methods Research
2021-03-01 00:49:46+00:00,Take Antidepressant,Inbox
2021-03-01 00:49:52+00:00,Write for ASEE,EED
2021-03-01 01:56:17+00:00,Update Newsletter,The Renegade Coder
2021-03-01 01:56:21+00:00,Exercise,Inbox
2021-03-01 04:35:08+00:00,Work on Dissertation Literature Trace,EED
2021-03-01 16:51:13+00:00,Track Work Time,EED
2021-03-01 20:13:52+00:00,Take Antidepressant,Inbox
2021-03-02 01:06:39+00:00,Exercise,Inbox
2021-03-02 01:41:14+00:00,Write for ASEE,EED
2021-03-02 01:41:18+00:00,Selected examples (by group),ENGR 6194: Mixed Methods Research
2021-03-02 01:41:20+00:00,Student-Led Presentations,ENGR 6194: Mixed Methods Research
2021-03-02 19:00:23+00:00,Take Antidepressant,Inbox
2021-03-02 19:00:27+00:00,Take Antidepressant,Inbox
2021-03-02 19:03:37+00:00,Upload Transcripts & Audio,EED
2021-03-02 19:03:43+00:00,Write for ASEE,EED
2021-03-02 19:03:47+00:00,Craft Writing Agenda,EED
2021-03-02 20:02:44+00:00,"Creswell & Plano Clark (2018): Chapter 3 (Explanatory Design, pp. 77-83)",ENGR 6194: Mixed Methods Research
2021-03-03 17:11:41+00:00,Craft CAREER Agenda,EED
2021-03-03 17:47:19+00:00,Write for ASEE,EED
2021-03-05 01:48:13+00:00,Exercise,Inbox
2021-03-05 01:48:17+00:00,Schedule Article,The Renegade Coder
2021-03-05 02:40:57+00:00,Write for ASEE,EED
2021-03-05 15:41:40+00:00,Track Work Time,EED
2021-03-05 15:45:30+00:00,Track Writing Time,EED
2021-03-05 18:52:33+00:00,Finish Editing ASEE,EED
2021-03-05 18:52:34+00:00,Write for ASEE,EED
2021-03-06 21:03:54+00:00,Submit Tax Return,Inbox
2021-03-06 21:11:50+00:00,M8: Knowledge Quiz: Career & Financial Wellness,ESCE 5271: Wellness
2021-03-06 21:12:27+00:00,Exercise,Inbox
2021-03-06 21:24:03+00:00,Work on Dissertation Literature Trace,EED
2021-03-08 21:25:43+00:00,Write for ASEE,EED
2021-03-08 21:25:52+00:00,Submit ASEE Draft,EED
2021-03-08 21:38:16+00:00,Upload Transcripts/Audio,EED
2021-03-08 21:38:25+00:00,Order Gift Cards,EED
2021-03-09 16:21:27+00:00,Write for ASEE,EED
2021-03-09 16:21:31+00:00,Craft Writing Agenda,EED
2021-03-09 16:21:32+00:00,Craft 1:1 Agenda,EED
2021-03-09 16:22:10+00:00,Register for SIGSCE,EED
2021-03-09 19:54:42+00:00,"Creswell & Plano Clark (2018): Chapter 3 (Exploratory Design, pp. 84-98)",ENGR 6194: Mixed Methods Research
2021-03-09 19:54:42+00:00,Selected examples (by group),ENGR 6194: Mixed Methods Research
2021-03-09 20:21:17+00:00,Exercise,Inbox
2021-03-10 17:30:16+00:00,Exercise,Inbox
2021-03-10 17:30:24+00:00,M9: Knowledge Quiz: Spirituality & Wellness,ESCE 5271: Wellness
2021-03-10 17:46:53+00:00,IWP Progress and Feedback 2,ESCE 5271: Wellness
2021-03-10 20:17:30+00:00,Start Spreadsheet for Transcript Cleaning,EED
2021-03-10 23:50:52+00:00,Convert VTT to Word,EED
2021-03-10 23:51:09+00:00,Wrote Code to Aggregate Text,EED
2021-03-11 16:47:11+00:00,Craft CAREER Agenda,EED
2021-03-11 18:00:24+00:00,Creswell & Plano Clark (2018): Chapter 4,ENGR 6194: Mixed Methods Research
2021-03-11 19:56:07+00:00,"Creswell & Plano Clark (2018): Chapter 8 (Evaluating a Mixed Methods Study, pp. 278-283)",ENGR 6194: Mixed Methods Research
2021-03-11 20:14:49+00:00,"Creamer, E. G. (2018). Striving for methodological integrity in mixed methods research: The difference between mixed methods and mixed‐up methods. Journal of Engineering Education, 107(4), 526–530. https://doi.org/10.1002/jee.20240",ENGR 6194: Mixed Methods Research
2021-03-11 22:30:51+00:00,Work on Dissertation Literature Trace,EED
2021-03-11 22:39:40+00:00,Track Work Time,EED
2021-03-11 23:09:50+00:00,Send Gift Cards,EED
2021-03-11 23:14:45+00:00,Track Gift Card Receipts,EED
2021-03-12 16:56:01+00:00,Schedule Article,The Renegade Coder
2021-03-12 17:22:15+00:00,"Onwuegbuzie, A. J., & Johnson, R. B. (2006). The validity issue in mixed research. Research in the Schools, 13(1), 48–63.",ENGR 6194: Mixed Methods Research
2021-03-12 19:26:33+00:00,Greene (2007): Chapter 9,ENGR 6194: Mixed Methods Research
2021-03-12 21:14:34+00:00,Cleanup Transcripts,EED
2021-03-15 15:36:44+00:00,Track Work Time,EED
2021-03-15 15:41:37+00:00,Track Writing Time,EED
2021-03-15 19:29:15+00:00,Schedule Patreon Post,The Renegade Coder
2021-03-15 19:29:18+00:00,Schedule Patreon Post,The Renegade Coder
2021-03-15 20:56:17+00:00,Schedule Patreon Post,The Renegade Coder
2021-03-15 21:08:31+00:00,M10: Knowledge Quiz: Cultural & Environmental Wellness,ESCE 5271: Wellness
2021-03-15 21:48:53+00:00,Complete ASEE Survey,EED
2021-03-15 21:53:02+00:00,Complete Department Survey,EED
2021-03-15 21:54:53+00:00,Schedule CAREER Writing Time,EED
2021-03-15 22:00:51+00:00,Write Research Questions,ENGR 6194: Mixed Methods Research
2021-03-15 22:05:26+00:00,Pay Therapy Bill,Inbox
2021-03-16 16:52:19+00:00,Drawing Example Procedural Diagrams,ENGR 6194: Mixed Methods Research
2021-03-16 16:52:22+00:00,Craft Writing Agenda,EED
2021-03-17 15:52:28+00:00,Email Mel,EED
2021-03-17 17:11:56+00:00,Clean Freya Transcript,EED
2021-03-17 17:33:50+00:00,Work on Dissertation Literature Trace,EED
2021-03-17 22:05:03+00:00,Craft CAREER Agenda,EED
2021-03-17 22:05:04+00:00,Schedule Article,The Renegade Coder
2021-03-19 16:09:24+00:00,Creswell & Plano Clark (2018): Chapter 6,ENGR 6194: Mixed Methods Research
2021-03-19 16:12:43+00:00,Schedule Article,The Renegade Coder
2021-03-19 19:57:35+00:00,Admin Stuff: EMAILS,EED
2021-03-19 20:10:33+00:00,"Onwuegbuzie, A. J., & Collins, K. M. T. (2007). A typology of mixed methods sampling designs in social science research. The Qualitative Report, 12(2), 281–316.",ENGR 6194: Mixed Methods Research
2021-03-19 20:49:24+00:00,"Teddlie, C., & Yu, F. (2007). Mixed methods sampling: A typology with examples. Journal of Mixed Methods Research, 1(1), 77–100. https://doi.org/10.1177/2345678906292430",ENGR 6194: Mixed Methods Research
2021-03-20 20:22:44+00:00,Clean Freya's Transcript,EED
2021-03-20 20:25:16+00:00,Track Work Time,EED
2021-03-20 21:03:15+00:00,Assess Examples for Quality,ENGR 6194: Mixed Methods Research
2021-03-21 20:17:37+00:00,Procedural Diagram and Literature Review,ENGR 6194: Mixed Methods Research
2021-03-21 23:17:05+00:00,Write about Epistemologies,EED
2021-03-21 23:20:11+00:00,Track Writing Time,EED
2021-03-21 23:20:15+00:00,Write for ASEE,EED
2021-03-22 18:53:13+00:00,Work on Dissertation Literature Trace,EED
2021-03-22 21:01:52+00:00,Polish MMR Paper,ENGR 6194: Mixed Methods Research
2021-03-22 21:13:06+00:00,M11: Knowledge Quiz: Social Relationships & Wellness,ESCE 5271: Wellness
2021-03-22 22:55:01+00:00,Write for ASEE,EED
2021-03-22 23:10:38+00:00,Craft Writing Agenda,EED
2021-03-23 14:16:02+00:00,Craft 1:1 Agenda,EED
2021-03-23 14:16:04+00:00,Craft CAREER Agenda,EED
2021-03-24 19:05:51+00:00,Manage Files,EED
2021-03-24 19:13:09+00:00,Manuscript Idea: Let's Talk SAMPLING,EED
2021-03-24 20:46:09+00:00,Send Gift Cards,EED
2021-03-24 21:16:32+00:00,Sent Emails to Missing Bookings,EED
2021-03-24 21:28:30+00:00,Track Receipts for Gift Cards,EED
2021-03-26 15:03:59+00:00,Schedule Remaining Interviews,EED
2021-03-26 16:32:28+00:00,Clean Freya's Interview,EED
2021-03-26 16:32:31+00:00,Update interview tracking spreadsheet with bookings,EED
2021-03-27 16:09:56+00:00,Track Work Time,EED
2021-03-27 21:16:53+00:00,Cleaning Freya's transcript (4 hours),EED
2021-03-28 17:56:49+00:00,Write for ASEE,EED
2021-03-29 19:18:15+00:00,Track Writing Time,EED
2021-03-30 01:09:02+00:00,Write for ASEE,EED
2021-03-30 01:09:06+00:00,Creswell & Plano Clark (2018): Chapter 7,ENGR 6194: Mixed Methods Research
2021-03-30 16:16:36+00:00,Craft Writing Agenda,EED
2021-03-30 16:16:38+00:00,Write for ASEE,EED
2021-03-30 19:29:18+00:00,Greene (2007): Chapter 8,ENGR 6194: Mixed Methods Research
2021-03-30 21:53:24+00:00,Schedule Article,The Renegade Coder
2021-03-31 17:45:17+00:00,Update Newsletter,The Renegade Coder
2021-03-31 17:45:21+00:00,Craft CAREER Agenda,EED
2021-04-01 16:27:39+00:00,Deleted screen recordings,EED
2021-04-02 15:04:21+00:00,M12: Knowledge Quiz: Creativity and Wellness,ESCE 5271: Wellness
2021-04-02 15:06:28+00:00,Upload audio and transcripts,EED
2021-04-02 15:11:49+00:00,Track Work Time,EED
2021-04-02 15:21:38+00:00,Upload transcripts and audio,EED
2021-04-02 19:41:58+00:00,Write for ASEE,EED
2021-04-05 15:56:31+00:00,Track Writing Time,EED
2021-04-06 00:27:18+00:00,Detailed Methods,ENGR 6194: Mixed Methods Research
2021-04-07 15:24:24+00:00,Craft 1:1 Agenda,EED
2021-04-07 15:24:26+00:00,Craft Writing Agenda,EED
2021-04-07 15:24:29+00:00,Jigsaw articles,ENGR 6194: Mixed Methods Research
2021-04-07 15:24:30+00:00,Jigsaw,ENGR 6194: Mixed Methods Research
2021-04-07 15:24:39+00:00,Write for ASEE,EED
2021-04-07 15:32:29+00:00,Craft CAREER Agenda,EED
2021-04-07 16:11:10+00:00,Create Feedback Spreadsheet,EED
2021-04-07 16:19:31+00:00,"Creswell & Plano Clark (2018): Chapter 5 (Writing a Mixed Methods Title, Stating the Research Problem in the Introduction, Developing the Purpose Statement, pp. 143-162)",ENGR 6194: Mixed Methods Research
2021-04-07 16:20:01+00:00,Practice Data Analysis,ENGR 6194: Mixed Methods Research
2021-04-07 16:20:15+00:00,Greene (2007): Chapter 10,ENGR 6194: Mixed Methods Research
2021-04-07 17:34:15+00:00,"Creswell & Plano Clark (2018): Chapter 8 (General Guidelines for Writing, Relate the Mixed Methods Structure to the Type of Writing, pp. 259-277)",ENGR 6194: Mixed Methods Research
2021-04-07 19:19:16+00:00,Create List of Research Questions,EED
2021-04-07 19:31:48+00:00,Schedule Patreon Post,The Renegade Coder
2021-04-07 21:35:40+00:00,Schedule Summer Classes,EED
2021-04-07 23:01:51+00:00,Register classes,Inbox
2021-04-08 16:56:17+00:00,Complete Annual Review Form,EED
2021-04-08 17:14:35+00:00,Update CV,EED
2021-04-08 18:09:35+00:00,Add rationale to course plan,EED
2021-04-08 20:59:59+00:00,Schedule Article,The Renegade Coder
2021-04-09 16:56:16+00:00,Switch Pharmacies,Inbox
2021-04-09 16:57:55+00:00,Send Email to Dr. Christy,EED
2021-04-09 18:08:18+00:00,Deidentify Freya Transcript,EED
2021-04-09 18:24:51+00:00,Draft Email for Advisory Board,EED
2021-04-09 18:39:44+00:00,Work on Dissertation Literature Trace,EED
2021-04-09 20:14:51+00:00,Track Work Time,EED
2021-04-09 21:03:24+00:00,Track Writing Time,EED
2021-04-09 21:35:25+00:00,Schedule Patreon Post,The Renegade Coder
2021-04-09 21:35:28+00:00,Schedule Patreon Post,The Renegade Coder
2021-04-09 21:37:42+00:00,Schedule Patreon Post,The Renegade Coder
2021-04-09 21:38:36+00:00,Exercise,Inbox
2021-04-12 19:48:48+00:00,Distribute Gift Cards,EED
2021-04-12 21:31:12+00:00,Schedule Article,The Renegade Coder
2021-04-12 21:47:28+00:00,Complete SEIs,EED
2021-04-12 23:03:14+00:00,Write for ASEE,EED
2021-04-13 15:44:46+00:00,Write for ASEE,EED
