"Timestamp","Which of the following classes is this assignment for?","Are you reviewing a project or a homework assignment?","Which project are you reviewing (enter a # between 1 and 11)?","On a scale from 1 to 5, how satisfied are you with the rubric for this project?","In what ways was this rubric helpful to you?","In what ways could this rubric be more helpful?","On a scale from 1 to 5, how satisfied are you with the checklist for this project?","In what ways was this checklist helpful to you?","In what ways could this checklist be more helpful?","Which homework assignment are you reviewing (enter a # between 1 and 37)?","Have you had a chance to check out the key for this assignment?","How satisfied are you with the homework key?","In what ways was this homework key helpful to you?","In what ways could this homework key be more helpful?","How much time did you spend on this assignment in hours?","What resources did you use to help you complete this assignment?","Which of the following emotions did you experience **before** starting this project (select all that apply)?","Which of the following emotions did you experience while completing this project (select all that apply)?","Which of the following emotions did you experience **after** completing this project (select all that apply)?"
"2022/01/13 1:14:54 AM EST","","Homework","","","","","","","","1","No","","","","1","The textbook and course policies information.","Stress but only because I almost forgot about it.","Boredom","Pride"
"2022/01/13 10:15:15 AM EST","","Homework","","","","","","","","1","No","","","","1","textbook and google","Anxiety","Enjoyment","Pride"
"2022/01/15 4:03:21 PM EST","","Project","1","5","It was clear and concise.","Maybe add pictures of example websites and what they should look like.","5","It helped me make sure I was doing everything that was asked of me.","Nothing comes to mind. I can't think of anything wrong with it.","","","","","","2.5","Primarily W3 Schools.","Joy;Hope","Enjoyment;Frustration","Joy;Pride;Gratitude"
"2022/01/16 8:52:29 PM EST","","Project","1","4","It was pretty clear what I had to include in my project","","5","Checklist made every step organized","","","","","","","2","W3school and google","Anxiety","Enjoyment;Frustration","Relief"
"2022/01/17 5:07:44 PM EST","","Project","1","5","As a guideline","Not sure","5","I liked how the checklist showed me how to use HTML a bit with the headers","Not sure","","","","","","1","HTML tutorial","Content","Enjoyment","Joy"
"2022/01/17 6:11:26 PM EST","","Project","1","5","Let me make sure I had all of the elements I needed","In no ways","5","Lets me know I had everything I needed","No ways","","","","","","2","Links provided in project page","Relief","Enjoyment","Joy"
"2022/01/17 7:22:35 PM EST","","Project","1","3","It told us all of the parts we needed in the webpage and how we get points","A little more detail on the parts of each section we need on the webpage","4","It helped us double check our work and see what was needed","A little more detailed instructions on how to add the titles, and examples on how it would look when done properly","","","","","","3","W3Schools","Hopelessness;Anxiety","Anger;Frustration","Joy;Gratitude"
"2022/01/17 7:39:30 PM EST","","Project","1","5","checking point","give example","5","give example","i don't know","","","","","","0.8","https://www.w3schools.com/html/html_xhtml.asp","Anxiety;mad","mad","mad"
"2022/01/17 9:19:11 PM EST","","Project","1","5","Organization of criteria","","5","Task instructions, good order to the tasks","","","","","","","2","w3 schools","Hope;content","Frustration;Boredom","Joy;content"
"2022/01/17 9:29:57 PM EST","","Project","1","4","It helped me to improve my project like what detail I miss in that project","No, I think it's already very clear","5","It helped me to check what I missed","No, it's already very helpful","","","","","","6","Those 2 websites provided in the project instruction","Hopelessness","Frustration","worried about what should I do about next project"
"2022/01/17 10:06:15 PM EST","","Project","1","5","Made sure I completed all parts of the assignment.","Being less vague in what was expected for each part. Like saying the list should be at least three items long or the table should be 3x3.","5","I almost forgot to include a hyperlink, but the checklist told me I need to.","It is good.","","","","","","2","W3schools","Hope","Enjoyment","Joy"
"2022/01/17 10:42:34 PM EST","","Project","1","3","","","5","","","","","","","","1","W3 Schools","Hopelessness;Anxiety","Enjoyment","Pride"
"2022/01/17 11:34:10 PM EST","","Project","1","5","Gave me the information I needed to make sure I have the right work to submit","None","5","it helped for when I reviewed my project to make sure it was all good","None","","","","","","2","The checklist, rubric and W3","Anxiety","Enjoyment;Frustration","Joy"
"2022/01/18 12:30:59 AM EST","","Project","1","5","The rubric was helpful in that it allowed me to figure out where points were being allocated.","","5","It was helpful in that I was able to ensure I completed everything necessary prior to submitting the project.","","","","","","","4","The ones provided with the project description as well as outside sources.","Hope;Anxiety","Enjoyment","Joy;Pride"
"2022/01/18 12:37:19 AM EST","","Project","1","5","Gave me the expectations of the project.","It was already pretty good.","5","Helped keep things organized.","It is good as is.","","","","","","1","Just googling how to use HTML, and sites like W3 schools.","Hope","Trying to find creative freedom.","Pride"
"2022/01/18 8:06:26 AM EST","","Project","1","5","it made sure I followed each step correctly and in order","none","5","it made sure I went in order","none","","","","","","1.5","the Internet, specifically W3 schools","Hope","Frustration","Joy;Gratitude"
"2022/01/18 6:29:06 PM EST","","Project","1","5","Yes, helps me to check if I am missing anything.","It is already very helpful","5","During the project time and after I finished my project, it can help me to check what I should do for the project.","No, it is good enough for me. ","","","","","","2.5 ","I used the sources that the project#1 assignment page provided, and Mr. Grifski and TA Ben. ","Joy;Hope;Anxiety","Enjoyment;Maybe a little bit confused","Joy;Pride;Gratitude;Very happy that I can get help from all over the places!"
"2022/01/18 6:52:24 PM EST","","Homework","","","","","","","","2","No","","","","1","Various webpages about expressions vs statements","distraction","distraction","Joy;Pride"
"2022/01/19 2:03:24 AM EST","","Homework","","","","","","","","2","No","","","","","Template/eclipse","Hope;Anxiety","Anger;Frustration","Sadness;Anger"
"2022/01/19 5:35:38 PM EST","","Homework","","","","","","","","3","No","","","","1.5 ","Textbook","Anxiety","Enjoyment","Pride"
"2022/01/19 10:29:15 PM EST","","Homework","","","","","","","","3","No","","","","2.75","","distressed","Boredom;annoyed","tired"
"2022/01/20 2:09:26 AM EST","","Homework","","","","","","","","3","No","","","","1","w3schools","Hope","Boredom","Pride"
"2022/01/20 3:37:17 AM EST","","Homework","","","","","","","","3","No","","","","4","n/a","Anxiety","Anger;Frustration","Gratitude;Sadness;Shame;Anger"
"2022/01/23 6:04:09 PM EST","","Homework","","","","","","","","4","No","","","","2","MonteCarlo Assignment","Anxiety","Frustration","Pride"
"2022/01/24 9:36:32 PM EST","","Homework","","","","","","","","4","No","","","","1","Eclipse","Anxiety","Frustration","Anger"
"2022/01/24 11:45:08 PM EST","","Homework","","","","","","","","4","No","","","","0.5","Monte Carlo Lab","Hopelessness;Anxiety","Enjoyment","Pride"
"2022/01/25 11:12:21 PM EST","","Homework","","","","","","","","3","No","","","","1","textbook","Hope","Frustration","Sadness"
"2022/01/26 7:08:31 PM EST","","Project","2","5","Makes everything that is asked of us clear and concise.","Nothing comes to mind.","5","Allowed to me to make sure I was meeting all the requirements.","N/A","","","","","","3","The project assignment page and the rubric.","Hope","Enjoyment","Pride;Gratitude"
"2022/01/26 8:19:24 PM EST","","Project","2","4","","","4","","","","","","","","2.5","","Hope","Enjoyment;Frustration","Joy;Gratitude"
"2022/01/26 9:27:19 PM EST","","Project","2","5","","More specific detail","5","Let me know what t remember and highlighted parts I may have missed","","","","","","","3","Discord Chat, the project outline","Hopelessness;Anxiety;Laziness","Frustration;Boredom;Not there mentally","Gratitude;Relief, worried, confusion"
"2022/01/26 10:23:26 PM EST","","Project","2","4","Showed what practices to use","N/A","5","More descriptive than the original checklist on the schedule","N/A","","","","","","3","Wikipedia Newton Iteration","Content","Frustration","Joy;Pride"
"2022/01/26 11:58:39 PM EST","","Project","2","5","help me learn java better","more clear with what we need to create，enter，output","5","help me find what I have missing","more clear answer about which type of wrong cannot have","","","","","","3","website","Joy","Frustration;tired","Pride"
"2022/01/27 3:03:37 AM EST","","Project","2","5","","","5","","","","","","","","3","n/a","Anxiety","Enjoyment;Frustration","Joy;Pride"
"2022/01/31 1:00:23 AM EST","","Homework","","","","","","","","5","No","","","","4","Eclipse","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Anger"
"2022/01/31 7:15:00 PM EST","","Homework","","","","","","","","5","No","","","","2","Nothing","Joy","Overwhelmed","Joy"
"2022/01/31 11:41:44 PM EST","","Homework","","","","","","","","5","No","","","","3.5","","Hopelessness","Frustration","Gratitude"
"2022/02/01 12:09:59 AM EST","","Homework","","","","","","","","5","No","","","","2.5","old projects, google (ex. how to square a number)","Anxiety","Enjoyment","Joy;Pride"
"2022/02/01 1:27:33 AM EST","","Homework","","","","","","","","5","No","","","","2 ","Java platform; OSU CSE Components","Tired as I'm still working on it and the time now is 0:02AM","","I can sleep now"
"2022/02/03 1:31:16 PM EST","","Project","3","5","","","5","Specified what was expected in this assignment","","","","","","","4","Discord chat, communicating w others","Hopelessness;Anxiety","Enjoyment;Frustration","Pride;Relief"
"2022/02/03 4:13:39 PM EST","","Project","3","5","","","5","Reminded me to turn in the pdfs of the java files","","","","","","","2","Google","","Boredom",""
"2022/02/03 4:15:16 PM EST","","Homework","","","","","","","","5","No","","","","2","Google, Eclipse, Carmen Resources","","Frustration;Boredom;This was drastically longer than all the other homeworks we've had so far. ","Exaustion"
"2022/02/04 4:52:27 AM EST","","Project","3","2","。","。","3","。","more clear about what kind of result should we get","","","","","","6",".","Hopelessness","Anger","Sadness;Shame"
"2022/02/04 5:35:54 AM EST","","Project","3","3","Helped to double check requirements and code add-ons (ie. comments)","N/a","3","Helped to double check requirements and code add-ons (ie. comments)","idk","","","","","","10","Eclipse, CSE Page, checklist","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger;Pain"
"2022/02/06 11:13:14 PM EST","","Project","3","5","Very clear and concise.","Nothing comes to mind.","5","Very clear and concise.","Nothing comes to mind.","","","","","","3","The project page and assignment checklist.","Anxiety","Frustration","Joy;Pride;Gratitude"
"2022/02/07 4:33:33 PM EST","","Homework","","","","","","","","7","No","","","","1","The class slides and the password checker lab.","Hopelessness;Anxiety","Enjoyment","Joy;Pride"
"2022/02/07 5:46:59 PM EST","","Homework","","","","","","","","7","No","","","","4","w3school; google","Joy","Sometimes just told myself to relax","Now I can do other homework"
"2022/02/07 10:52:47 PM EST","","Homework","","","","","","","","7","No","","","","1.5","","Relief","Boredom","Joy"
"2022/02/08 2:12:53 AM EST","","Homework","","","","","","","","7","No","","","","3","CSE Slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger"
"2022/02/08 4:40:10 AM EST","","Homework","","","","","","","","7","No","","","","2","Google","Joy","Frustration;Boredom","Pride"
"2022/02/14 9:50:38 PM EST","","Homework","","","","","","","","8","No","","","","2","Readings for Meeting 21","Hopelessness;Anxiety","Frustration;Boredom","Sadness;Anger"
"2022/02/14 11:57:37 PM EST","","Homework","","","","","","","","8","No","","","","2","PPT and Articles; Google","Hi, my old friend(homework), we always meet at midnight.","It seems that our meeting will be held for at least one hour.","It's glad to see you again but I have to go to bed now."
"2022/02/15 9:25:04 PM EST","","Project","4","3","Concise.","I wish the assignment instructions were more clear.","5","Clear and concise.","N/A","","","","","","5","N/A","Anxiety","Anxiety","Joy;Pride;Gratitude"
"2022/02/15 10:31:04 PM EST","","Project","4","5","","","3","let me know major points ","slightly more specific ","","","","","","6","discord, notes, api","Anxiety","Anger;Frustration","Joy;Pride"
"2022/02/15 10:59:28 PM EST","","Project","4","4","The check Rss links","More links","","","","","","","","","6","The project page and discord help","Hopelessness;Anxiety","Anger;Frustration","Joy;Pride;Gratitude"
"2022/02/16 12:55:04 PM EST","","Project","4","3","","","5","","","","","","","","2.5 ","the labs","Joy;Hope","Enjoyment","Pride;Gratitude"
"2022/02/16 1:11:04 PM EST","","Project","4","3","","","3","Testing links","","","","","","","6","Eclipse, slideshows","Hopelessness;Anxiety","Anger;Frustration","Sadness;Shame;Anger"
"2022/02/16 5:47:02 PM EST","","Project","4","4","basic checklist","Kind of vague","4","More specific than rubric","could be more specific","","","","","","5","project description, rubric, powerpoint slides, other RSS feeds, W3schools, XML api, ","Hopelessness;Anxiety","Frustration","Relief"
"2022/02/17 11:41:56 PM EST","","Homework","","","","","","","","9","No","","","","1","CSE Slides","Hopelessness;Anxiety","Anger;Frustration","Sadness;Anger"
"2022/02/19 2:06:56 PM EST","","Homework","","","","","","","","10","No","","","","1","Eclipse","Hopelessness;Anxiety","Anger;Boredom","Anger"
"2022/02/22 11:49:23 PM EST","","Homework","","","","","","","","11","No","","","","1","CSE slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger"
"2022/02/23 1:58:16 AM EST","","Homework","","","","","","","","11","No","","","","0.5","no else","Why I'm so sleepy at 21:30?","Now I'm excited","Sleepy again"
"2022/02/24 8:41:09 PM EST","","Project","5","4","","","5","","","","","","","","3.5","Discord, slides,","Hopelessness;Anxiety","Enjoyment;Frustration","Pride;Relief"
"2022/02/24 9:42:49 PM EST","","Project","5","3","","","4","","","","","","","","3","source code","Joy","Enjoyment","Joy"
"2022/03/03 11:07:28 PM EST","","Project","6","4","","","5","","","","","","","","2","natural number API, my code from lab, discord","Anxiety","Frustration","Pride"
"2022/03/07 5:44:14 PM EST","","Homework","","","","","","","","12","No","","","","3","CSE OSU Comp and the Slides","Anxiety","Anger;Frustration","Pride"
"2022/03/07 8:00:49 PM EST","","Homework","","","","","","","","12","No","","","","2","Natural Number API","Hopelessness;Anxiety","Frustration;Boredom","Sadness;Shame"
"2022/03/07 10:54:16 PM EST","","Homework","","","","","","","","12","No","","","","2","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration","Sadness;Anger"
"2022/03/08 6:12:21 AM EST","","Homework","","","","","","","","12","No","","","","1.5","","Relief","Confused","Confused"
"2022/03/10 10:44:42 AM EST","","Homework","","","","","","","","13","No","","","","2.5","Eclipse, cse slides","Hopelessness;Anxiety","Frustration;Boredom","Anger"
"2022/03/22 11:03:25 PM EST","","Homework","","","","","","","","14","No","","","","1","Eclipse, cse slides","Hopelessness;Anxiety","Frustration;Boredom","Shame;Anger"
"2022/03/24 8:11:42 PM EST","","Project","7","5","","Little more detail","5","","","","","","","","3","Discord, slides","Hopelessness;Anxiety","Enjoyment","Pride;Emptiness"
"2022/03/25 1:02:58 AM EST","","Homework","","","","","","","","15","No","","","","1","Eclipse, cse slides","Hopelessness;Anxiety","Frustration","Sadness;Anger"
"2022/03/25 2:22:24 AM EST","","Project","7","3","","","4","","","","","","","","3","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger"
"2022/03/28 9:03:49 PM EST","","Homework","","","","","","","","16","No","","","","1","CSE Slides","Hopelessness;Anxiety","Frustration;Boredom","Anger"
"2022/03/28 11:22:10 PM EST","","Homework","","","","","","","","16","No","","","",".5","The mathematical set notation slides","Joy","Enjoyment","Joy"
"2022/03/30 11:25:10 PM EST","","Project","8","5","It let me know exactly what needed to be done whereas I felt the project instructions are always vague.","","5","Test case ideas","","","","","","","4","The lab","Hopelessness;Anxiety","Enjoyment;Anger;Frustration","Joy;Pride"
"2022/03/31 7:42:58 AM EST","","Homework","","","","","","","","17","No","","","",".75","Slides","Joy","Enjoyment;Frustration","Joy;Confusion"
"2022/03/31 5:13:09 PM EST","","Homework","","","","","","","","18","No","","","","20","Slides and lecture notes","Joy;Anxiety","Frustration;Boredom","Joy;Pride;Gratitude"
"2022/03/31 5:14:28 PM EST","","Homework","","","","","","","","18","No","","","",".5","My friend ","Hopelessness;Anxiety","Anger;Frustration","Sadness;Shame"
"2022/04/01 2:27:31 PM EST","","Project","8","3","","Having more specific things that are being looked for","2","","","","","","","","8","Discord, notes","Hopelessness;Anxiety","Anger;Frustration;Boredom","Pride;Sadness;relief"
"2022/04/03 10:11:22 PM EST","","Homework","","","","","","","","17","No","","","","1","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Anger"
"2022/04/03 11:02:07 PM EST","","Homework","","","","","","","","19","No","","","","2.5","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger"
"2022/04/03 11:02:39 PM EST","","Homework","","","","","","","","20","No","","","","2","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Anger"
"2022/04/03 11:03:10 PM EST","","Homework","","","","","","","","21","No","","","","2.5","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration","Sadness;Anger"
"2022/04/07 10:23:00 PM EST","","Project","9","3","Described the basics, what was being looked for","More details on what is expected in test cases","4","","More for test cases","","","","","","8","Discord, slides, API","Hopelessness","Anger;Frustration","Glad"
"2022/04/07 11:29:27 PM EST","","Project","9","3","","","4","","","","","","","","7","Eclipse, cse slides","Hopelessness;Anxiety","Anger;Frustration;Boredom","Sadness;Shame;Anger"
"2022/04/15 10:15:05 AM EST","","Project","10","5","","More specific on what is being looked for","3","","","","","","","","8","Discord Chat","Hopelessness;Anxiety","Enjoyment;Frustration","Pride;So relieved"
"2022/04/21 7:55:01 PM EST","","Project","11","4","","Little more detail","3","Let me know to turn in PDFs as well","","","","","","","5","Demo GUI and the other","Hopelessness;Anxiety","Enjoyment","Joy;Pride;Glad"
"2022/08/23 3:04:02 PM EST","","Homework","","","","","","","","1","No","","","","1","http://web.cse.ohio-state.edu/software/web/policies.html, ""Java for Everyone"" book, previous CSE 1222 info ","","Enjoyment",""
"2022/08/24 6:50:13 PM EST","","Homework","","","","","","","","1","No","","","","1","google","content","curious","neutral"
"2022/08/24 8:32:57 PM EST","","Project","1","3","Gave an outline for how the project will be graded","I have no problems with the rubric","5","Outlined the required items in a clear and concise way","Perhaps include the rubric within the checklist as I primarily just referred to the checklist when completing the assignment","","","","","","2","w3schools, w3c markup validation","Hope;Neutral","Enjoyment","Satisfaction"
"2022/08/25 2:29:01 PM EST","","Homework","","","","","","","","1","No","","","","1","books, online","Joy","Enjoyment","Joy;Pride"
"2022/08/26 9:59:06 AM EST","","Project","1","5","Clear instructions on what I needed to complete.","I think it is sufficient.","5","Clear goals that I needed to complete.","I think it is very useful.","","","","","","0.5","w3school.org","Joy;Hope","Enjoyment","Joy;Pride;Gratitude"
"2022/08/26 3:43:47 PM EST","","Project","1","5","I was confident that I had done everything that needed to be done for the project correctly.","","5","Making sure I hadn't forgotten any part of the project (I had)","I wasn't aware there was a Getting Started section— I only looked at the checklist after I had finished the project. But I will use it throughout the project in the future.","","","","","","3","w3schools.com","Joy;Hope;Anxiety","Enjoyment","Joy;Pride;Gratitude"
"2022/08/28 8:16:36 PM EST","","Project","1","4","It helped me know what was needed and not needed. Besides that, the rubric was simple to follow and helped me finish the project as soon as I could","Possibly adding a description on the ways that this project aligns with our course goals and what we can take away from the project. Just a suggestion, but besides that I have no real notes against the current rubric.","","","","","","","","","2 ","W3 Schools and TAs","Joy;Hope;Nervous","Enjoyment;Anxious","Joy;Pride;Gratitude"
"2022/08/28 10:01:17 PM EST","","Project","1","5","I think it's just pretty clear","One thing that I'm confused about is if I can have multiple pages or like use JavaScript or something, so maybe clarity on that, but that doesn't exactly have to do with the focus of the project and is only if I want to test my HTML ability","5","It was very straightforward","I'm not sure really. I think for the page for creating the project, maybe have a blank line between steps to make it more clear maybe","","","","","","2","W3Schools, mainly to remember the syntax since it's been a while since I've used HTML","Hope","Boredom","relief"
"2022/08/29 3:16:51 PM EST","","Project","1","4","NA","NA","5","Posting the checklist in the submitting page is really helpful!","NA","","","","","","2.5","w3school","Joy","Frustration","Gratitude"
"2022/08/29 5:59:29 PM EST","","Project","1","4","","","5","","","","","","","","1.5","internet/instructors","Hopelessness","Frustration","Pride"
"2022/08/29 9:45:50 PM EST","","Project","1","5","The rubric clearly showed what needed to be done. ","n/a, the rubric was as clear as it gets.","5","Just like the rubric, the checklist shows what needs to be done.","It's good the way it is!","","","","","","2","W3Schools and Google","Anxiety","Enjoyment;Frustration","Joy"
"2022/08/29 11:08:54 PM EST","","Project","1","5","It made it exceedingly clear exactly what was being graded for and even suggested (again) to use the validator site to ensure the HomePage was formatted right. Very helpful.","Honestly, I think it was fine as is. Maybe if possible use a hyperlink to the validator site.","5","It gave a step by step way to ensure full credit should be earned. It was very clear.","I think it was fine the way it is.","","","","","","3","w3schools HTML tutorial and validator","anticipation","Enjoyment;Frustration","Joy;Pride"
"2022/08/30 2:40:43 AM EST","","Project","1","4","The rubric explained roughly what points were assigned for what.","The rubric links mainly to the checklist, which is confusing in certain areas and explained below.","4","Described the components and outline of the project. Gave specific coding requirements.","Submission instructions on whether a pdf submission is required are confusing. The submission instructions list it is not for Project 1, the checklist says it is, and my eclipse software will not allow me to print the html doc (the print button is greyed out). The Markup Validation Service linked in the checklist will not read my link since it is a file link, seeing as it is not uploaded to the public internet.","","","","","","4","The Web3 something link and previous knowledge. In the past, I have used Khan Academy","Hopelessness","Enjoyment","Confusion on submitting assignment/pdf/Markup/etc"
"2022/08/30 11:23:27 AM EST","","Homework","","","","","","","","2","No","","","","1","none","Hope","Enjoyment","Gratitude"
"2022/08/30 9:31:38 PM EST","","Homework","","","","","","","","2","Yes","5","the powerpoint slides posted in study link, website","NA","0.5","website","Joy","Enjoyment","Joy;Pride"
"2022/08/30 11:43:59 PM EST","","Homework","","","","","","","","2","No","","","","1.5","textbook and slides","Joy;Anxiety","Frustration","Pride"
"2022/09/01 12:21:56 PM EST","","Homework","","","","","","","","3","No","","","","2","stack overflow for some syntax reminders","Joy","Enjoyment","Joy"
"2022/09/05 12:53:22 AM EST","","Homework","","","","","","","","4","Yes","","","","1","The textbook and course slides.","Confident","Enjoyment","Pride"
"2022/09/05 8:02:47 PM EST","","Homework","","","","","","","","4","No","","","","0.75","past labs and textbook
","Joy","Enjoyment","Pride;Gratitude"
"2022/09/05 11:19:29 PM EST","","Homework","","","","","","","","4","No","","","","1","Notepad and Eclipse","Neutral","Boredom","Joy"
"2022/09/06 7:49:17 AM EST","","Homework","","","","","","","","4","Yes","5","NA","NA","0.25","lab","Joy","Enjoyment","Joy"
"2022/09/07 2:10:25 PM EST","","Project","2","5","rubric doesn't help","NA","5","have a clear list","NA","","","","","","3.5","lab","Joy","impatience","Joy;Pride;Gratitude"
"2022/09/11 1:04:30 PM EST","","Homework","","","","","","","","5","No","","","","3.2","none, I asked a couple questions in the discord","Joy","Enjoyment;Frustration","Joy"
"2022/09/12 12:44:23 PM EST","","Homework","","","","","","","","5","No","","","","1.5","discord and textbook","Hope","Enjoyment;Frustration","Pride"
"2022/09/13 12:57:56 AM EST","","Homework","","","","","","","","5","No","","","","3","Template","annoyance","Anger;Frustration;Boredom","Gratitude;Anger"
"2022/09/13 8:08:03 AM EST","","Homework","","","","","","","","5","Yes","4","NA","NA","0.75","NA","Joy","Anger","Joy;Pride"
"2022/09/15 9:08:40 PM EST","","Project","3","5","Made very clear exactly what needed to be done and included for full credit.","I think it was good as is","5","Gave a clear step by step process to follow","I think it was good as is, maybe include a link to the coding best practices that you linked on Discord in case some dont have discord (it may already be linked actually I didnt look)","","","","","","5","Your Renegade Coder website at times","Hope","Enjoyment;Frustration","Joy;Pride"
"2022/09/16 10:54:46 AM EST","","Project","3","3","NA","NA","5","have details about what methods should we include","NA","","","","","","2.5","lab","Joy","Enjoyment","Joy"
"2022/09/19 9:44:21 AM EST","","Homework","","","","","","","","7","Yes","4","NA","NA","1","slides","Joy","Anger","Gratitude"
"2022/09/19 11:02:16 PM EST","","Homework","","","","","","","","7","No","","","","3","Course slides, OSU Components API Docs","Dreadful","Boredom","Gratitude"
"2022/09/21 9:32:20 AM EST","","Homework","","","","","","","","5","Yes","4","It gave an example of how to do each of the problems","Problem 3E gave the easy but not optimal solution, so I would like to see what the optimal solution is","6.5","none","Hope","Frustration","Pride"
"2022/09/26 8:38:02 PM EST","","Project","4","4","","","5","Provided rss feed test cases","","","","","","","4","Google, RSS slides, discord, project checklist, stack overflow, OSU CSE API","Hopelessness","Frustration","Joy"
"2022/09/27 8:53:39 AM EST","","Homework","","","","","","","","8","No","","","","1","powerpoint presentation","Joy","Anger;Boredom","Anger"
"2022/09/29 6:51:22 PM EST","","Homework","","","","","","","","9","Yes","5","NA","NA","0.2","NA","Joy","Enjoyment","Joy"
"2022/10/01 5:40:22 PM EST","","Project","4","4","NA","NA","4","NA","NA","","","","","","5","NA","Joy","Anger;Frustration","Gratitude"
"2022/10/04 10:17:39 PM EST","","Project","5","4","","","4","","","","","","","","2.5","","Anxiety","Boredom","Gratitude"
"2022/10/05 8:39:19 AM EST","","Homework","","","","","","","","11","Yes","3","NA","NA","0.5","Online","Joy","Anger;Frustration","tired"
"2022/10/24 11:54:28 PM EST","","Homework","","","","","","","","13","Yes","4","NA","NA","1","http://web.cse.ohio-state.edu/~patel.2004/Glossary/HTML_Files/debugging.html","Joy","Anger;Boredom","Joy"
"2022/11/01 5:24:36 PM EST","","Homework","","","","","","","","15","No","","","","2","OSU API, Java API, CSE2221 Course Slideshows","Hope","Enjoyment;Frustration","Joy;Pride"
"2022/11/02 7:37:29 PM EST","","Project","7","5","NA","NA","5","NA","NA","","","","","","2","NA","Joy","Enjoyment","Joy"
"2022/11/02 11:27:27 PM EST","","Homework","","","","","","","","16","Yes","5","mathematical notation review slides","NA","0.1","NA","Joy","Enjoyment","Joy"
"2022/11/02 11:57:00 PM EST","","Homework","","","","","","","","16","No","","","",".5","Course Slides","Hope","Enjoyment","Gratitude"
"2022/11/07 11:44:33 PM EST","","Project","8","3","It says to follow what the pages say","I don't think the test part was too clear","3","it tells you technically what you have to do","be more detailed regarding testing","","","","","","12","none","Anxiety","Frustration;Anxiety","Sadness"
"2022/11/08 12:51:15 AM EST","","Homework","","","","","","","","17","No","","","","17","none","Hope","Anger","Pride"
"2023/01/11 8:10:03 PM EST","","Homework","","","","","","","","1","No","","","","0.75","Java for Everyone","Anxiety","Boredom","Satisfaction"
"2023/01/12 4:14:10 AM EST","","Homework","","","","","","","","1","No","","","","1","The textbook and the syllabus.  ","Hope;Relief","Enjoyment","Joy;excitement"
"2023/01/12 4:02:56 PM EST","","Project","1","5","Told me exactly what was expected of me for this project.","None, rubric was good","5","Gave me things to double check before submitting project","None, checklist was helpful","","","","","","1.5","Various google websites","Anxiety","Enjoyment;Frustration","Joy;Pride"
"2023/01/14 6:33:02 PM EST","","Project","1","5","The rubric was very simple and clear to see what was going to be graded and how many points could be taken off for any errors.","N/A","5","I was able to follow the checklist while I worked on the project in order to make sure I was staying on track with what I needed to do, and at the end I was able to use the checklist to make sure everything needed in the project was included.","N/A","","","","","","1","For learning how to use XHTML, I found helpful resources on St. Vincent's CIS XHTML websites (these were found by doing quick Google searches on how to do different things in XHTML). Here is a link to the website: https://cis.stvincent.edu/martincc/new/preface.php","Hope;Anxiety","Enjoyment","Joy;Pride"
"2023/01/15 12:49:56 AM EST","","Project","1","5","Confirmed that I had all of the required parts of the project and that I completed it correctly","This project was so simple there's not much that could be added","5","Made sure I completed everything, wasn't missing something obvious","once again, the project was so simple there's nothing to add.","","","","","","2","W3Schools","Indifference","Boredom","Indifference"
"2023/01/15 4:09:04 PM EST","","Project","1","5","It seems fairly forgiving for small mistakes","","5","It was a great way to review the requirements for this project","","","","","","","4","I used Google primarliy","Hopelessness;Anxiety","Enjoyment;Frustration","Joy;Pride"
"2023/01/15 4:11:06 PM EST","","Homework","","","","","","","","1","Yes","5","","","1","The provided textbook","Anxiety","Boredom","Joy"
"2023/01/15 9:15:25 PM EST","","Project","1","4","It helped me understand how I will be graded.","It could be a little more detailed","5","It helped me visualize everything that I needed to do for the project.","","","","","","","2","","Hope","Enjoyment;Frustration","Joy;Pride"
"2023/01/16 1:26:55 PM EST","","Project","1","4","All of the expectations were clearly outlined.","","5","Made it very clear what I was supposed to accomplish.","","","","","","","2","I used the suggested links to learn xhtml, as well as http://redwriteblue.com/tags/tutorialxhtml.html, which I found particularly useful.","Hope;Anxiety","Enjoyment;Frustration","Joy;Pride"
"2023/01/16 1:54:33 PM EST","","Project","1","3","","","4","","","","","","","","0.7","w3.org","Hope","Boredom","Apathy"
"2023/01/16 5:55:46 PM EST","","Project","1","5","It outlined everything I needed for this project","Maybe breaking each needed element into its own section on the rubric","5","Had everything I needed to make sure I fulfilled every point","None","","","","","","2","the links in the directions and a few google searches for help using html","Hope","Boredom","Relief"
