Year,Season,Course,Question,Index,Group,Mean,Standard Deviation,Section
2019,Spring,CSE 1223,This course was intellectually stimulating,2,University,4.2,1.01,8282
2019,Spring,CSE 1223,This instructor was genuinely interested in teaching,3,University,4.47,0.88,8282
2019,Spring,CSE 1223,The instructor encouraged students to think for themselves,4,University,4.4,0.89,8282
2019,Spring,CSE 1223,The instructor was well prepared,5,University,4.37,0.94,8282
2019,Spring,CSE 1223,The instructor was genuinely interested in helping students,6,University,4.43,0.91,8282
2019,Spring,CSE 1223,I learned a great deal from this instructor,7,University,4.17,1.08,8282
2019,Spring,CSE 1223,The instructor created an atmosphere conducive to learning,8,University,4.27,1,8282
2019,Spring,CSE 1223,The instructor communicated the subject matter clearly,9,University,4.21,1.07,8282
2019,Spring,CSE 1223,"Overall, I would rate this instructor as",10,University,4.37,0.97,8282
2018,Autumn,CSE 1223,The subject matter of this course was well organized,1,Instructor,4.13,0.61,26319
2018,Autumn,CSE 1223,This course was intellectually stimulating,2,Instructor,4.38,0.66,26319
2018,Autumn,CSE 1223,This instructor was genuinely interested in teaching,3,Instructor,4.72,0.52,26319
2018,Autumn,CSE 1223,The instructor encouraged students to think for themselves,4,Instructor,4.75,0.51,26319
2018,Autumn,CSE 1223,The instructor was well prepared,5,Instructor,4.5,0.72,26319
2018,Autumn,CSE 1223,The instructor was genuinely interested in helping students,6,Instructor,4.72,0.58,26319
2018,Autumn,CSE 1223,I learned a great deal from this instructor,7,Instructor,4.53,0.67,26319
2018,Autumn,CSE 1223,The instructor created an atmosphere conducive to learning,8,Instructor,4.53,0.72,26319
2018,Autumn,CSE 1223,The instructor communicated the subject matter clearly,9,Instructor,4.44,0.8,26319
2018,Autumn,CSE 1223,"Overall, I would rate this instructor as",10,Instructor,4.63,0.61,26319
2018,Autumn,CSE 1223,The subject matter of this course was well organized,1,Department,4.19,1,26319
2018,Autumn,CSE 1223,This course was intellectually stimulating,2,Department,4.14,1.01,26319
2018,Autumn,CSE 1223,This instructor was genuinely interested in teaching,3,Department,4.23,1,26319
2018,Autumn,CSE 1223,The instructor encouraged students to think for themselves,4,Department,4.23,0.96,26319
2018,Autumn,CSE 1223,The instructor was well prepared,5,Department,4.21,1.01,26319
2018,Autumn,CSE 1223,The instructor was genuinely interested in helping students,6,Department,4.27,0.97,26319
2018,Autumn,CSE 1223,I learned a great deal from this instructor,7,Department,4.02,1.14,26319
2018,Autumn,CSE 1223,The instructor created an atmosphere conducive to learning,8,Department,4.07,1.08,26319
2018,Autumn,CSE 1223,The instructor communicated the subject matter clearly,9,Department,4,1.15,26319
2018,Autumn,CSE 1223,"Overall, I would rate this instructor as",10,Department,4.17,1.07,26319
2018,Autumn,CSE 1223,The subject matter of this course was well organized,1,College,4.16,1.02,26319
2018,Autumn,CSE 1223,This course was intellectually stimulating,2,College,4.09,1.04,26319
2018,Autumn,CSE 1223,This instructor was genuinely interested in teaching,3,College,4.37,0.92,26319
2018,Autumn,CSE 1223,The instructor encouraged students to think for themselves,4,College,4.32,0.9,26319
2018,Autumn,CSE 1223,The instructor was well prepared,5,College,4.27,0.98,26319
2018,Autumn,CSE 1223,The instructor was genuinely interested in helping students,6,College,4.37,0.93,26319
2018,Autumn,CSE 1223,I learned a great deal from this instructor,7,College,4.06,1.11,26319
2018,Autumn,CSE 1223,The instructor created an atmosphere conducive to learning,8,College,4.14,1.04,26319
2018,Autumn,CSE 1223,The instructor communicated the subject matter clearly,9,College,4.07,1.11,26319
2018,Autumn,CSE 1223,"Overall, I would rate this instructor as",10,College,4.27,1.03,26319
2018,Autumn,CSE 1223,The subject matter of this course was well organized,1,University,4.22,0.99,26319
2018,Autumn,CSE 1223,This course was intellectually stimulating,2,University,4.14,1.03,26319
2018,Autumn,CSE 1223,This instructor was genuinely interested in teaching,3,University,4.44,0.89,26319
2018,Autumn,CSE 1223,The instructor encouraged students to think for themselves,4,University,4.37,0.89,26319
2018,Autumn,CSE 1223,The instructor was well prepared,5,University,4.34,0.95,26319
2018,Autumn,CSE 1223,The instructor was genuinely interested in helping students,6,University,4.42,0.9,26319
2018,Autumn,CSE 1223,I learned a great deal from this instructor,7,University,4.12,1.08,26319
2018,Autumn,CSE 1223,The instructor created an atmosphere conducive to learning,8,University,4.24,1,26319
2018,Autumn,CSE 1223,The instructor communicated the subject matter clearly,9,University,4.17,1.07,26319
2018,Autumn,CSE 1223,"Overall, I would rate this instructor as",10,University,4.34,0.98,26319
